
GenomeNet icon	
LinkDB Search


Mode: Single Entry to Database
From: KEGG GENOME T01330
To: KEGG GENES
vcn:VOLCADRAFT_101218 hypothetical protein 
vcn:VOLCADRAFT_101220 hypothetical protein 
vcn:VOLCADRAFT_101222 hypothetical protein 
vcn:VOLCADRAFT_101225 hypothetical protein 
vcn:VOLCADRAFT_101227 hypothetical protein 
vcn:VOLCADRAFT_101230 hypothetical protein 
vcn:VOLCADRAFT_101231 hypothetical protein 
vcn:VOLCADRAFT_101232 hypothetical protein 
vcn:VOLCADRAFT_101235 hypothetical protein 
vcn:VOLCADRAFT_101237 hypothetical protein 
vcn:VOLCADRAFT_101238 hypothetical protein 
vcn:VOLCADRAFT_101239 hypothetical protein 
vcn:VOLCADRAFT_101240 hypothetical protein 
vcn:VOLCADRAFT_101243 hypothetical protein 
vcn:VOLCADRAFT_101244 hypothetical protein 
vcn:VOLCADRAFT_101251 hypothetical protein 
vcn:VOLCADRAFT_101252 hypothetical protein 
vcn:VOLCADRAFT_101254 hypothetical protein 
vcn:VOLCADRAFT_101255 hypothetical protein 
vcn:VOLCADRAFT_101256 hypothetical protein 
vcn:VOLCADRAFT_101258 hypothetical protein 
vcn:VOLCADRAFT_101260 hypothetical protein 
vcn:VOLCADRAFT_101263 hypothetical protein 
vcn:VOLCADRAFT_101264 hypothetical protein 
vcn:VOLCADRAFT_101265 hypothetical protein 
vcn:VOLCADRAFT_101266 vmp41; metalloproteinase, extracellular matrix glycoprotein VMP41 
vcn:VOLCADRAFT_101270 hypothetical protein 
vcn:VOLCADRAFT_101271 hypothetical protein 
vcn:VOLCADRAFT_101274 hypothetical protein 
vcn:VOLCADRAFT_101275 hypothetical protein 
vcn:VOLCADRAFT_101276 hypothetical protein 
vcn:VOLCADRAFT_101278 hypothetical protein 
vcn:VOLCADRAFT_101279 hypothetical protein 
vcn:VOLCADRAFT_101280 hypothetical protein 
vcn:VOLCADRAFT_101282 hypothetical protein 
vcn:VOLCADRAFT_101283 hypothetical protein 
vcn:VOLCADRAFT_101284 hypothetical protein 
vcn:VOLCADRAFT_101286 hypothetical protein 
vcn:VOLCADRAFT_101287 hypothetical protein 
vcn:VOLCADRAFT_101290 hypothetical protein 
vcn:VOLCADRAFT_101294 hypothetical protein 
vcn:VOLCADRAFT_101296 hypothetical protein 
vcn:VOLCADRAFT_101297 hypothetical protein 
vcn:VOLCADRAFT_101298 hypothetical protein 
vcn:VOLCADRAFT_101300 hypothetical protein 
vcn:VOLCADRAFT_101301 hypothetical protein 
vcn:VOLCADRAFT_101304 hypothetical protein 
vcn:VOLCADRAFT_101305 hypothetical protein 
vcn:VOLCADRAFT_101307 hypothetical protein 
vcn:VOLCADRAFT_101308 hypothetical protein 
vcn:VOLCADRAFT_101309 hypothetical protein 
vcn:VOLCADRAFT_101311 hypothetical protein 
vcn:VOLCADRAFT_101312 hypothetical protein 
vcn:VOLCADRAFT_101313 hypothetical protein 
vcn:VOLCADRAFT_101314 hypothetical protein; K02635 cytochrome b6 
vcn:VOLCADRAFT_101316 hypothetical protein 
vcn:VOLCADRAFT_101317 hypothetical protein 
vcn:VOLCADRAFT_101318 hypothetical protein 
vcn:VOLCADRAFT_101319 hypothetical protein 
vcn:VOLCADRAFT_101321 hypothetical protein 
vcn:VOLCADRAFT_101322 hypothetical protein 
vcn:VOLCADRAFT_101323 hypothetical protein 
vcn:VOLCADRAFT_101324 hypothetical protein 
vcn:VOLCADRAFT_101325 hypothetical protein 
vcn:VOLCADRAFT_101326 hypothetical protein 
vcn:VOLCADRAFT_101331 hypothetical protein 
vcn:VOLCADRAFT_101332 hypothetical protein 
vcn:VOLCADRAFT_101333 hypothetical protein 
vcn:VOLCADRAFT_101334 hypothetical protein 
vcn:VOLCADRAFT_101335 hypothetical protein 
vcn:VOLCADRAFT_101336 hypothetical protein 
vcn:VOLCADRAFT_101337 hypothetical protein 
vcn:VOLCADRAFT_101338 hypothetical protein 
vcn:VOLCADRAFT_101339 hypothetical protein; K02835 peptide chain release factor 1 
vcn:VOLCADRAFT_101340 hypothetical protein 
vcn:VOLCADRAFT_101342 hypothetical protein 
vcn:VOLCADRAFT_101345 hypothetical protein 
vcn:VOLCADRAFT_101346 hypothetical protein 
vcn:VOLCADRAFT_101348 hypothetical protein 
vcn:VOLCADRAFT_101349 hypothetical protein 
vcn:VOLCADRAFT_101351 phV25; extracellular matrix glycoprotein pherophorin-V25 
vcn:VOLCADRAFT_101357 hypothetical protein 
vcn:VOLCADRAFT_101370 hypothetical protein 
vcn:VOLCADRAFT_101372 hypothetical protein 
vcn:VOLCADRAFT_101373 hypothetical protein 
vcn:VOLCADRAFT_101374 hypothetical protein 
vcn:VOLCADRAFT_101375 hypothetical protein 
vcn:VOLCADRAFT_101380 hypothetical protein 
vcn:VOLCADRAFT_101383 hypothetical protein 
vcn:VOLCADRAFT_101385 hypothetical protein 
vcn:VOLCADRAFT_101387 hypothetical protein 
vcn:VOLCADRAFT_101390 hypothetical protein 
vcn:VOLCADRAFT_101393 hypothetical protein 
vcn:VOLCADRAFT_101395 hypothetical protein 
vcn:VOLCADRAFT_101398 hypothetical protein 
vcn:VOLCADRAFT_101399 hypothetical protein 
vcn:VOLCADRAFT_101400 hypothetical protein 
vcn:VOLCADRAFT_101402 hypothetical protein 
vcn:VOLCADRAFT_101403 hypothetical protein 
vcn:VOLCADRAFT_101407 hypothetical protein 
vcn:VOLCADRAFT_101408 hypothetical protein 
vcn:VOLCADRAFT_101410 hypothetical protein 
vcn:VOLCADRAFT_101411 hypothetical protein 
vcn:VOLCADRAFT_101414 hypothetical protein 
vcn:VOLCADRAFT_101416 hypothetical protein 
vcn:VOLCADRAFT_101417 hypothetical protein 
vcn:VOLCADRAFT_101419 hypothetical protein 
vcn:VOLCADRAFT_101423 hypothetical protein 
vcn:VOLCADRAFT_101426 hypothetical protein 
vcn:VOLCADRAFT_101430 hypothetical protein 
vcn:VOLCADRAFT_101433 hypothetical protein 
vcn:VOLCADRAFT_101434 hypothetical protein 
vcn:VOLCADRAFT_101435 hypothetical protein 
vcn:VOLCADRAFT_101436 hypothetical protein 
vcn:VOLCADRAFT_101437 hypothetical protein 
vcn:VOLCADRAFT_101440 hypothetical protein 
vcn:VOLCADRAFT_101442 hypothetical protein 
vcn:VOLCADRAFT_101443 hypothetical protein 
vcn:VOLCADRAFT_101447 hypothetical protein 
vcn:VOLCADRAFT_101448 hypothetical protein 
vcn:VOLCADRAFT_101449 hypothetical protein 
vcn:VOLCADRAFT_101450 hypothetical protein 
vcn:VOLCADRAFT_101452 hypothetical protein 
vcn:VOLCADRAFT_101455 hypothetical protein 
vcn:VOLCADRAFT_101456 hypothetical protein 
vcn:VOLCADRAFT_101460 hypothetical protein 
vcn:VOLCADRAFT_101461 hypothetical protein 
vcn:VOLCADRAFT_101462 hypothetical protein 
vcn:VOLCADRAFT_101463 hypothetical protein 
vcn:VOLCADRAFT_101465 hypothetical protein 
vcn:VOLCADRAFT_101466 hypothetical protein 
vcn:VOLCADRAFT_101467 hypothetical protein 
vcn:VOLCADRAFT_101468 hypothetical protein 
vcn:VOLCADRAFT_101470 hypothetical protein 
vcn:VOLCADRAFT_101471 hypothetical protein 
vcn:VOLCADRAFT_101473 hypothetical protein 
vcn:VOLCADRAFT_101475 hypothetical protein 
vcn:VOLCADRAFT_101477 hypothetical protein 
vcn:VOLCADRAFT_101479 hypothetical protein 
vcn:VOLCADRAFT_101480 hypothetical protein 
vcn:VOLCADRAFT_101482 hypothetical protein 
vcn:VOLCADRAFT_101483 hypothetical protein 
vcn:VOLCADRAFT_101492 hypothetical protein 
vcn:VOLCADRAFT_101493 hypothetical protein 
vcn:VOLCADRAFT_101494 hypothetical protein 
vcn:VOLCADRAFT_101495 hypothetical protein 
vcn:VOLCADRAFT_101498 hypothetical protein 
vcn:VOLCADRAFT_101499 hypothetical protein 
vcn:VOLCADRAFT_101502 hypothetical protein 
vcn:VOLCADRAFT_101503 hypothetical protein 
vcn:VOLCADRAFT_101504 hypothetical protein 
vcn:VOLCADRAFT_101506 hypothetical protein 
vcn:VOLCADRAFT_101507 hypothetical protein 
vcn:VOLCADRAFT_101508 hypothetical protein 
vcn:VOLCADRAFT_101509 hypothetical protein 
vcn:VOLCADRAFT_101510 hypothetical protein 
vcn:VOLCADRAFT_101511 hypothetical protein 
vcn:VOLCADRAFT_101512 hypothetical protein 
vcn:VOLCADRAFT_101513 hypothetical protein 
vcn:VOLCADRAFT_101514 hypothetical protein 
vcn:VOLCADRAFT_101515 hypothetical protein 
vcn:VOLCADRAFT_101516 hypothetical protein 
vcn:VOLCADRAFT_101517 hypothetical protein 
vcn:VOLCADRAFT_101518 hypothetical protein 
vcn:VOLCADRAFT_101519 hypothetical protein 
vcn:VOLCADRAFT_101520 hypothetical protein 
vcn:VOLCADRAFT_101521 hypothetical protein 
vcn:VOLCADRAFT_101522 hypothetical protein 
vcn:VOLCADRAFT_101523 hypothetical protein 
vcn:VOLCADRAFT_101524 hypothetical protein 
vcn:VOLCADRAFT_101526 hypothetical protein 
vcn:VOLCADRAFT_101528 hypothetical protein 
vcn:VOLCADRAFT_101529 hypothetical protein 
vcn:VOLCADRAFT_101530 hypothetical protein 
vcn:VOLCADRAFT_101531 hypothetical protein 
vcn:VOLCADRAFT_101532 hypothetical protein 
vcn:VOLCADRAFT_101533 hypothetical protein 
vcn:VOLCADRAFT_101534 hypothetical protein 
vcn:VOLCADRAFT_101536 hypothetical protein 
vcn:VOLCADRAFT_101538 hypothetical protein 
vcn:VOLCADRAFT_101540 hypothetical protein 
vcn:VOLCADRAFT_101541 hypothetical protein 
vcn:VOLCADRAFT_101542 hypothetical protein 
vcn:VOLCADRAFT_101543 hypothetical protein 
vcn:VOLCADRAFT_101544 hypothetical protein 
vcn:VOLCADRAFT_101545 hypothetical protein 
vcn:VOLCADRAFT_101546 hypothetical protein 
vcn:VOLCADRAFT_101547 hypothetical protein 
vcn:VOLCADRAFT_101548 hypothetical protein 
vcn:VOLCADRAFT_101549 hypothetical protein 
vcn:VOLCADRAFT_101550 hypothetical protein 
vcn:VOLCADRAFT_101552 hypothetical protein 
vcn:VOLCADRAFT_101577 hypothetical protein 
vcn:VOLCADRAFT_101579 hypothetical protein 
vcn:VOLCADRAFT_101585 hstH3-9; histone H3; K11253 histone H3 
vcn:VOLCADRAFT_101598 hypothetical protein 
vcn:VOLCADRAFT_101600 hypothetical protein 
vcn:VOLCADRAFT_101657 hypothetical protein; K09458 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179] 
vcn:VOLCADRAFT_101753 hstH2A-8; histone H2A; K11251 histone H2A 
vcn:VOLCADRAFT_101754 hstH2B-8; histone H2B; K11252 histone H2B 
vcn:VOLCADRAFT_101784 hypothetical protein; K10808 ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1] 
vcn:VOLCADRAFT_101814 hypothetical protein 
vcn:VOLCADRAFT_101835 hypothetical protein 
vcn:VOLCADRAFT_101861 hypothetical protein; K11251 histone H2A 
vcn:VOLCADRAFT_101862 hypothetical protein; K12391 AP-1 complex subunit gamma-1 
vcn:VOLCADRAFT_101864 arp3; actin-related protein Arp3 
vcn:VOLCADRAFT_101873 hypothetical protein; K07002 
vcn:VOLCADRAFT_101916 hypothetical protein; K16474 intraflagellar transport protein 88 
vcn:VOLCADRAFT_101939 hypothetical protein; K12734 peptidyl-prolyl cis-trans isomerase-like 3 [EC:5.2.1.8] 
vcn:VOLCADRAFT_101962 hypothetical protein 
vcn:VOLCADRAFT_101983 hypothetical protein 
vcn:VOLCADRAFT_101987 hypothetical protein 
vcn:VOLCADRAFT_101998 hypothetical protein 
vcn:VOLCADRAFT_102036 hypothetical protein; K01755 argininosuccinate lyase [EC:4.3.2.1] 
vcn:VOLCADRAFT_102054 bca3; branched chain amino acid aminotransferase; K00826 branched-chain amino acid aminotransferase  
vcn:VOLCADRAFT_102070 hypothetical protein 
vcn:VOLCADRAFT_102100 hstH4-7; histone H4; K11254 histone H4 
vcn:VOLCADRAFT_102136 hypothetical protein 
vcn:VOLCADRAFT_102182 hypothetical protein; K11518 mitochondrial import receptor subunit TOM40 
vcn:VOLCADRAFT_102187 hypothetical protein 
vcn:VOLCADRAFT_102189 hypothetical protein; K10577 ubiquitin-conjugating enzyme E2 I [EC:6.3.2.19] 
vcn:VOLCADRAFT_102213 hypothetical protein; K13628 iron-sulfur cluster assembly protein 
vcn:VOLCADRAFT_102215 hypothetical protein; K14864 tRNA (cytidine32/guanosine34-2'-O)-methyltransferase [EC:2.1.1.205] 
vcn:VOLCADRAFT_102225 hypothetical protein; K00609 aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2] 
vcn:VOLCADRAFT_102242 hypothetical protein; K12193 charged multivesicular body protein 3 
vcn:VOLCADRAFT_102285 hypothetical protein; K04523 ubiquilin 
vcn:VOLCADRAFT_102366 ornithine transaminase; K00819 ornithine--oxo-acid transaminase [EC:2.6.1.13] 
vcn:VOLCADRAFT_102370 hstH4-3; histone H4; K11254 histone H4 
vcn:VOLCADRAFT_102432 hypothetical protein; K02180 cell cycle arrest protein BUB3 
vcn:VOLCADRAFT_102436 hypothetical protein; K01265 methionyl aminopeptidase [EC:3.4.11.18] 
vcn:VOLCADRAFT_102592 hypothetical protein 
vcn:VOLCADRAFT_102594 spl7; splicing factor like protein; K14947 epithelial splicing regulatory protein 1/2 
vcn:VOLCADRAFT_102602 hypothetical protein; K09858 SEC-C motif domain protein 
vcn:VOLCADRAFT_102603 hypothetical protein 
vcn:VOLCADRAFT_102604 hypothetical protein; K17686 Cu+-exporting ATPase [EC:3.6.3.54] 
vcn:VOLCADRAFT_102606 hypothetical protein 
vcn:VOLCADRAFT_102607 hypothetical protein 
vcn:VOLCADRAFT_102610 hypothetical protein; K17545 serine/threonine-protein kinase ULK4 [EC:2.7.11.1] 
vcn:VOLCADRAFT_102614 hypothetical protein 
vcn:VOLCADRAFT_102615 hypothetical protein 
vcn:VOLCADRAFT_102616 hypothetical protein 
vcn:VOLCADRAFT_102618 hypothetical protein 
vcn:VOLCADRAFT_102619 hypothetical protein 
vcn:VOLCADRAFT_102620 hypothetical protein 
vcn:VOLCADRAFT_102621 hypothetical protein; K14016 ubiquitin fusion degradation protein 1 
vcn:VOLCADRAFT_102624 hypothetical protein 
vcn:VOLCADRAFT_102625 hypothetical protein 
vcn:VOLCADRAFT_102626 hypothetical protein 
vcn:VOLCADRAFT_102627 vcrp; small cysteine-rich extracellular protein 
vcn:VOLCADRAFT_102629 hypothetical protein 
vcn:VOLCADRAFT_102635 hypothetical protein 
vcn:VOLCADRAFT_102638 hypothetical protein; K02047 sulfate transport system permease protein 
vcn:VOLCADRAFT_102645 hypothetical protein 
vcn:VOLCADRAFT_102646 hypothetical protein 
vcn:VOLCADRAFT_102649 hypothetical protein 
vcn:VOLCADRAFT_102650 myb4; transcription factor Myb4 
vcn:VOLCADRAFT_102651 hypothetical protein 
vcn:VOLCADRAFT_102653 hypothetical protein 
vcn:VOLCADRAFT_102655 hypothetical protein 
vcn:VOLCADRAFT_102656 hypothetical protein; K01409 O-sialoglycoprotein endopeptidase [EC:3.4.24.57] 
vcn:VOLCADRAFT_102659 hypothetical protein 
vcn:VOLCADRAFT_102660 hypothetical protein 
vcn:VOLCADRAFT_102662 doh1; deoxyhypusine hydroxylase; K06072 deoxyhypusine monooxygenase [EC:1.14.99.29] 
vcn:VOLCADRAFT_102663 eft2; elongation factor Ts-like protein 
vcn:VOLCADRAFT_102664 hypothetical protein; K03453 bile acid:Na+ symporter, BASS family 
vcn:VOLCADRAFT_102667 hypothetical protein 
vcn:VOLCADRAFT_102669 hypothetical protein 
vcn:VOLCADRAFT_102676 poa5; 20S proteasome alpha subunit E; K02729 20S proteasome subunit alpha 5 [EC:3.4.25.1] 
vcn:VOLCADRAFT_102680 rsp14; hypothetical protein 
vcn:VOLCADRAFT_102683 deg9; trypsin family 
vcn:VOLCADRAFT_102684 hypothetical protein 
vcn:VOLCADRAFT_102687 rabL2A; rab-related GTPase; K07931 Rab-like protein 2 
vcn:VOLCADRAFT_102689 hypothetical protein; K09660 mannose-P-dolichol utilization defect 1 
vcn:VOLCADRAFT_102690 hypothetical protein 
vcn:VOLCADRAFT_102691 hypothetical protein 
vcn:VOLCADRAFT_102692 hypothetical protein 
vcn:VOLCADRAFT_102693 hypothetical protein 
vcn:VOLCADRAFT_102696 hypothetical protein; K07513 acetyl-CoA acyltransferase 1 [EC:2.3.1.16] 
vcn:VOLCADRAFT_102697 hypothetical protein 
vcn:VOLCADRAFT_102698 hypothetical protein 
vcn:VOLCADRAFT_102700 hypothetical protein; K08214 MFS transporter, OCT family, solute carrier family 22 (organic cation t 
vcn:VOLCADRAFT_102701 hypothetical protein; K11968 ariadne-1 
vcn:VOLCADRAFT_102702 hypothetical protein 
vcn:VOLCADRAFT_102705 hypothetical protein 
vcn:VOLCADRAFT_102706 hypothetical protein 
vcn:VOLCADRAFT_102707 pyc1; pyruvate carboxylase; K01958 pyruvate carboxylase [EC:6.4.1.1] 
vcn:VOLCADRAFT_102710 hypothetical protein 
vcn:VOLCADRAFT_102717 hypothetical protein 
vcn:VOLCADRAFT_102718 protein monooxygenase 
vcn:VOLCADRAFT_102722 hypothetical protein 
vcn:VOLCADRAFT_102723 hypothetical protein 
vcn:VOLCADRAFT_102729 hypothetical protein; K15687 E3 ubiquitin-protein ligase makorin [EC:6.3.2.19] 
vcn:VOLCADRAFT_102735 hypothetical protein 
vcn:VOLCADRAFT_102740 hypothetical protein 
vcn:VOLCADRAFT_102742 B-box zinc finger protein 
vcn:VOLCADRAFT_102743 hypothetical protein 
vcn:VOLCADRAFT_102745 hypothetical protein 
vcn:VOLCADRAFT_102747 dynein heavy chain 3 
vcn:VOLCADRAFT_102752 cgl81; hypothetical protein 
vcn:VOLCADRAFT_102754 hypothetical protein 
vcn:VOLCADRAFT_102755 pex11; hypothetical protein 
vcn:VOLCADRAFT_102756 eif1A1; eukaryotic translation initiation factor 1 alpha 1; K03231 elongation factor 1-alpha 
vcn:VOLCADRAFT_102758 hypothetical protein 
vcn:VOLCADRAFT_102761 hypothetical protein 
vcn:VOLCADRAFT_102769 hypothetical protein 
vcn:VOLCADRAFT_102778 hypothetical protein 
vcn:VOLCADRAFT_102779 hypothetical protein; K05359 arogenate/prephenate dehydratase [EC:4.2.1.91 4.2.1.51] 
vcn:VOLCADRAFT_102782 hypothetical protein; K01012 biotin synthase [EC:2.8.1.6] 
vcn:VOLCADRAFT_102784 hypothetical protein; K14766 nucleolar protein 14 
vcn:VOLCADRAFT_102786 atgcg1; ATP synthase, subunit gamma, chloroplast precursor; K02115 F-type H+-transporting ATPase sub 
vcn:VOLCADRAFT_102788 mrpL29; mitochondrial ribosomal protein L29 
vcn:VOLCADRAFT_102791 hypothetical protein 
vcn:VOLCADRAFT_102793 hypothetical protein 
vcn:VOLCADRAFT_102797 hypothetical protein 
vcn:VOLCADRAFT_102798 hypothetical protein; K01307 gamma-glutamyl hydrolase [EC:3.4.19.9] 
vcn:VOLCADRAFT_102800 hypothetical protein 
vcn:VOLCADRAFT_102802 hypothetical protein 
vcn:VOLCADRAFT_102804 hypothetical protein 
vcn:VOLCADRAFT_102805 hypothetical protein 
vcn:VOLCADRAFT_102808 hstH1-2; histone H1; K11275 histone H1/5 
vcn:VOLCADRAFT_102810 hypothetical protein 
vcn:VOLCADRAFT_102812 hypothetical protein 
vcn:VOLCADRAFT_102815 hypothetical protein 
vcn:VOLCADRAFT_102817 hypothetical protein 
vcn:VOLCADRAFT_102820 hypothetical protein; K02045 sulfate transport system ATP-binding protein [EC:3.6.3.25] 
vcn:VOLCADRAFT_102822 hypothetical protein 
vcn:VOLCADRAFT_102823 hypothetical protein; K01868 threonyl-tRNA synthetase [EC:6.1.1.3] 
vcn:VOLCADRAFT_102824 hypothetical protein 
vcn:VOLCADRAFT_102827 prpL10; plastid/chloroplast ribosomal protein L10; K02864 large subunit ribosomal protein L10 
vcn:VOLCADRAFT_102830 hypothetical protein 
vcn:VOLCADRAFT_102833 hypothetical protein 
vcn:VOLCADRAFT_102834 hypothetical protein 
vcn:VOLCADRAFT_102835 hypothetical protein 
vcn:VOLCADRAFT_102843 hypothetical protein 
vcn:VOLCADRAFT_102844 hypothetical protein 
vcn:VOLCADRAFT_102845 hypothetical protein 
vcn:VOLCADRAFT_102847 hypothetical protein 
vcn:VOLCADRAFT_102849 hypothetical protein 
vcn:VOLCADRAFT_102852 hypothetical protein 
vcn:VOLCADRAFT_102853 hypothetical protein 
vcn:VOLCADRAFT_102855 hypothetical protein 
vcn:VOLCADRAFT_102859 hypothetical protein 
vcn:VOLCADRAFT_102864 hypothetical protein 
vcn:VOLCADRAFT_102865 hypothetical protein 
vcn:VOLCADRAFT_102871 hypothetical protein 
vcn:VOLCADRAFT_102874 hypothetical protein 
vcn:VOLCADRAFT_102878 hypothetical protein 
vcn:VOLCADRAFT_102882 hypothetical protein; K15152 mediator of RNA polymerase II transcription subunit 21 
vcn:VOLCADRAFT_102883 hypothetical protein; K17424 large subunit ribosomal protein L43, mitochondrial 
vcn:VOLCADRAFT_102889 hypothetical protein 
vcn:VOLCADRAFT_102892 hypothetical protein 
vcn:VOLCADRAFT_102894 hypothetical protein 
vcn:VOLCADRAFT_102895 jtnpB8-1; jordan transposition protein 
vcn:VOLCADRAFT_102896 hypothetical protein 
vcn:VOLCADRAFT_102897 hypothetical protein 
vcn:VOLCADRAFT_102898 hypothetical protein 
vcn:VOLCADRAFT_102899 hypothetical protein 
vcn:VOLCADRAFT_102906 hypothetical protein 
vcn:VOLCADRAFT_102908 hypothetical protein 
vcn:VOLCADRAFT_102913 hypothetical protein; K16298 serine carboxypeptidase-like clade IV [EC:3.4.16.-] 
vcn:VOLCADRAFT_102915 hypothetical protein 
vcn:VOLCADRAFT_102916 hypothetical protein 
vcn:VOLCADRAFT_102917 hypothetical protein 
vcn:VOLCADRAFT_102920 hypothetical protein 
vcn:VOLCADRAFT_102922 hypothetical protein 
vcn:VOLCADRAFT_102923 hypothetical protein 
vcn:VOLCADRAFT_102925 hypothetical protein 
vcn:VOLCADRAFT_102927 hypothetical protein 
vcn:VOLCADRAFT_102928 hypothetical protein; K02738 20S proteasome subunit beta 1 [EC:3.4.25.1] 
vcn:VOLCADRAFT_102935 hypothetical protein; K16944 septin 7 
vcn:VOLCADRAFT_102936 hypothetical protein; K07052 
vcn:VOLCADRAFT_102937 hypothetical protein 
vcn:VOLCADRAFT_102941 hypothetical protein 
vcn:VOLCADRAFT_102948 hypothetical protein 
vcn:VOLCADRAFT_102951 hypothetical protein 
vcn:VOLCADRAFT_102958 hypothetical protein 
vcn:VOLCADRAFT_102959 hypothetical protein 
vcn:VOLCADRAFT_102960 hypothetical protein 
vcn:VOLCADRAFT_102964 hypothetical protein 
vcn:VOLCADRAFT_102970 hypothetical protein 
vcn:VOLCADRAFT_102981 hypothetical protein 
vcn:VOLCADRAFT_102982 hypothetical protein; K14557 U3 small nucleolar RNA-associated protein 6 
vcn:VOLCADRAFT_102983 hypothetical protein 
vcn:VOLCADRAFT_102987 hypothetical protein 
vcn:VOLCADRAFT_102988 hypothetical protein 
vcn:VOLCADRAFT_102989 hypothetical protein; K14786 protein KRI1 
vcn:VOLCADRAFT_102990 hypothetical protein; K14565 nucleolar protein 58 
vcn:VOLCADRAFT_102992 hypothetical protein 
vcn:VOLCADRAFT_102993 hypothetical protein; K05292 phosphatidylinositol glycan, class T 
vcn:VOLCADRAFT_102995 hypothetical protein 
vcn:VOLCADRAFT_102996 pathogenesis-related genes transcriptional activator 
vcn:VOLCADRAFT_102997 hypothetical protein; K17498 transcription factor SPN1 
vcn:VOLCADRAFT_102998 hypothetical protein 
vcn:VOLCADRAFT_103000 hypothetical protein 
vcn:VOLCADRAFT_103001 hypothetical protein 
vcn:VOLCADRAFT_103002 hypothetical protein 
vcn:VOLCADRAFT_103003 rap41; chloroplast ribosome-associated protein 
vcn:VOLCADRAFT_103004 hsp70G; heat shock protein Hsp70G; K09486 hypoxia up-regulated 1 
vcn:VOLCADRAFT_103007 cog8; component of oligomeric golgi complex 8 
vcn:VOLCADRAFT_103013 hypothetical protein 
vcn:VOLCADRAFT_103015 hypothetical protein 
vcn:VOLCADRAFT_103016 hypothetical protein 
vcn:VOLCADRAFT_103021 hypothetical protein; K17710 pentatricopeptide repeat domain-containing protein 1 
vcn:VOLCADRAFT_103022 hypothetical protein 
vcn:VOLCADRAFT_103023 hypothetical protein 
vcn:VOLCADRAFT_103026 hypothetical protein 
vcn:VOLCADRAFT_103027 hypothetical protein 
vcn:VOLCADRAFT_103028 orc4; origin recognition complex subunit 4; K02606 origin recognition complex subunit 4 
